xml:id	chars	head	bibl
MG-1673-04_000	1048	Au Lecteur	Le Mercure Galant, tome IV, 1673, p. [I-III].
MG-1673-04_001	47026	Leonidas. Nouvelle	Le Mercure Galant, tome IV, 1673, p. 1-107.
MG-1673-04_111	915	[Éloge de l’Académie française sur les valeurs militaires des Français] *	Le Mercure Galant, tome IV, 1673, p. 111-113.
MG-1673-04_122	1384	[Prophétie et explications] *	Le Mercure Galant, tome IV, 1673, p. 122-125.
MG-1673-04_126	17570	La Femme aux Deux Maris. Nouvelle.*	Le Mercure Galant, tome IV, 1673, p. 126-165.
MG-1673-04_180	20237	L’Échange par Hazard. Nouvelle.	Le Mercure Galant, tome IV, 1673, p. 180-224.
MG-1673-04_225a	486	[Visite du Comte de Sunderland, ambassadeur d’Angleterre] *	Le Mercure Galant, tome IV, 1673, p. 225.
MG-1673-04_225b	623	[Pulchérie de Pierre Corneille] *	Le Mercure Galant, tome IV, 1673, p. 225-227.
MG-1673-04_227	642	[Théodat de Thomas Corneille] *	Le Mercure Galant, tome IV, 1673, p. 227-228.
MG-1673-04_233	9546	Lettre en vers libres, sur le siège de Charleroy	Le Mercure Galant, tome IV, 1673, p. 233-252.
MG-1673-04_257	311	[Réception de Galoy, Fléchier et Racine à l’Académie française] *	Le Mercure Galant, tome IV, 1673, p. 257.
MG-1673-04_258	1420	[Mithridate de J. Racine] *	Le Mercure Galant, tome IV, 1673, p. 258-261.
MG-1673-04_261	3587	[Critique sur les deux précédentes livraisons du Mercure galant.]*	Le Mercure Galant, tome IV, 1673, p. 261-266 [pagination erronée].
MG-1673-04_266	22928	[La mort de Molière] *	Le Mercure Galant, tome IV, 1673, p. 266-276.
MG-1674-5_000	1733	Au Lecteur	Le Mercure Galant, tome V, 1673, p. I-VI.
MG-1674-5_001	34673	Eugenio. Nouvelle	Le Mercure Galant, tome V, 1673, p. 1-75.
MG-1674-5_082	3505	L’Amour aux Dames de Dijon	Le Mercure Galant, tome V, 1673, p. 82-89.
MG-1674-5_098	11109	Le Soldat malgré luy. Nouvelle	Le Mercure Galant, tome V, 1673, p. 98-155.
MG-1674-5_135	8710	Le Miroir. Nouvelle	Le Mercure Galant, tome V, 1673, p. 135-155.
MG-1674-5_258	1099	[Etablissement de la Troupe du Roy au bout de la Ruë de Guenegaud]	Le Mercure Galant, tome V, 1673, p. 258-260.
MG-1674-5_262	2391	Le Moineau. Nouvelle	Le Mercure Galant, tome V, 1673, p. 262-267.
MG-1674-5_267	811	[Annonce du Mal de Mere, Nouvelle] *	Le Mercure Galant, tome V, 1673, p. 267-269.
MG-1673-06_001	4859	Le Mal de Mere. Nouvelle	Le Mercure Galant, tome VI, 1673, p. 1-12.
MG-1673-06_018	595	[Chanson nouvelle de M. de la Cornuliere, dont l’Air a esté fait par M. Lambert]	Le Mercure Galant, tome VI, 1673, p. 18-19.
MG-1673-06_020	590	[Impromptu de M. le Duc de R…. sur lequel Mes. Lambert & le Camus ont fait chacun un Air]	Le Mercure Galant, tome VI, 1673, p. 20.
MG-1673-06_021	481	[Autres Paroles mises en chant par M. Lambert]	Le Mercure Galant, tome VI, 1673, p. 21.
MG-1673-06_022a	455	[Autre Chanson dont une Dame de Caën a fait l’Air & les Paroles]	Le Mercure Galant, tome VI, 1673, p. 22.
MG-1673-06_022b	801	[Paroles sur l’Air d’Aimable Jeunesse, faites par un grand Prince, contre la Vieillesse]	Le Mercure Galant, tome VI, 1673, p. 22-25.
MG-1673-06_024	885	[Nouvelle Académie galante, qui s’assemble une fois la semaine, & dont chaque Assemblée n’est ouverte que par un Discours qui regarde l’Amour]	Le Mercure Galant, tome VI, 1673, p. 24-26.
MG-1673-06_026	2596	[Plusieurs Sonnets de differents Autheurs sur la prise de Mastric]	Le Mercure Galant, tome VI, 1673, p. 26-32.
MG-1673-06_032	1052	[Chanson sur la prise de Mastric]	Le Mercure Galant, tome VI, 1673, p. 32-34.
MG-1673-06_035	976	[Dialogue d’un Berger & d’une Bergere, mise en musique par M. Vignon]	Le Mercure Galant, tome VI, 1673, p. 35-37.
MG-1673-06_037	1059	[Sonnet de M. de Corneille l’aisné, sur la prise de Mastric]	Le Mercure Galant, tome VI, 1673, p. 37-39.
MG-1673-06_042	742	[Madrigal de Mad. De Scudery sur la prise de Mastric]	Le Mercure Galant, tome VI, 1673, p. 42-43.
MG-1673-06_049	1637	[Regale donné à S. Oüen à S. Altesse Royale & toute sa Cour par M. de Boisfranc Surintendant des Finances de sa Maison]	Le Mercure Galant, tome VI, 1673, p. 46-50.
MG-1673-06_052	2087	[Description d’une Feste surprenante pour la prise de Mastric, faite pas M. le Marquis de Castres, Lieutenant de Roy en Languedoc]	Le Mercure Galant, tome VI, 1673, p. 52-56.
